,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
10,Mission: Impossible - Fallout,2018,PG-13,27 Jul 2018,147 min,"Action, Adventure, Thriller",Christopher McQuarrie,"Bruce Geller, Christopher McQuarrie","Tom Cruise, Henry Cavill, Ving Rhames","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","English, French","United States, China, France, Norway, United Kingdom",Nominated for 1 BAFTA Film Award24 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BNjRlZmM0ODktY2RjNS00ZDdjLWJhZGYtNDljNWZkMGM5MTg0XkEyXkFqcGdeQXVyNjAwMjI5MDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.7,"315,041",tt4912910,movie,23 Oct 2018,"$220,159,104",N/A,N/A,True,,
11,Venom,2018,PG-13,05 Oct 2018,112 min,"Action, Adventure, Sci-Fi",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg, Kelly Marcel","Tom Hardy, Michelle Williams, Riz Ahmed","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","English, Mandarin, Malay","China, United States",3 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BNzAwNzUzNjY4MV5BMl5BanBnXkFtZTgwMTQ5MzM0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.7,"449,625",tt1270797,movie,18 Jun 2019,"$213,515,506",N/A,N/A,True,,
12,Green Book,2018,PG-13,16 Nov 2018,130 min,"Biography, Comedy, Drama",Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly","Viggo Mortensen, Mahershala Ali, Linda Cardellini",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"English, Italian, Russian, German","United States, China",Won 3 Oscars. 58 wins & 123 nominations total,https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,8.2,"445,951",tt6966692,movie,12 Mar 2019,"$85,080,171",N/A,N/A,True,,
13,Crazy Rich Asians,2018,PG-13,15 Aug 2018,120 min,"Comedy, Drama, Romance",Jon M. Chu,"Peter Chiarelli, Adele Lim, Kevin Kwan","Constance Wu, Henry Golding, Michelle Yeoh","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.","English, Mandarin, Cantonese, Hokkien, French, Malay",United States,14 wins & 64 nominations,https://m.media-amazon.com/images/M/MV5BMTYxNDMyOTAxN15BMl5BanBnXkFtZTgwMDg1ODYzNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.9,"161,890",tt3104988,movie,20 Nov 2018,"$174,532,921",N/A,N/A,True,,
14,Ant-Man and the Wasp,2018,PG-13,06 Jul 2018,118 min,"Action, Adventure, Comedy",Peyton Reed,"Chris McKenna, Erik Sommers, Paul Rudd","Paul Rudd, Evangeline Lilly, Michael Peña","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.","English, Spanish",United States,2 wins & 21 nominations,https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.0,"364,875",tt5095030,movie,08 Dec 2015,"$216,648,740",N/A,N/A,True,,
15,BlacKkKlansman,2018,R,10 Aug 2018,135 min,"Biography, Comedy, Crime",Spike Lee,"Charlie Wachtel, David Rabinowitz, Kevin Willmott","John David Washington, Adam Driver, Laura Harrier","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual eve",English,United States,Won 1 Oscar. 45 wins & 213 nominations total,https://m.media-amazon.com/images/M/MV5BMjUyOTE1NjI0OF5BMl5BanBnXkFtZTgwMTM4ODQ5NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.5,"249,683",tt7349662,movie,06 Nov 2018,"$49,275,340",N/A,N/A,True,,
16,The Predator,2018,R,14 Sep 2018,107 min,"Action, Adventure, Sci-Fi",Shane Black,"Fred Dekker, Shane Black, Jim Thomas","Boyd Holbrook, Trevante Rhodes, Jacob Tremblay","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.","English, Spanish","United States, Canada",1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BNjZjN2QzNjYtYWZkMi00OWQ4LWFjNDctYjcyMjM2ZDNjOWMyXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.3,"124,315",tt3829266,movie,27 Nov 2018,"$51,024,708",N/A,N/A,True,,
17,White Boy Rick,2018,R,14 Sep 2018,111 min,"Crime, Drama",Yann Demange,"Andy Weiss, Logan Miller, Noah Miller","Matthew McConaughey, Richie Merritt, Bel Powley","The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNjQ5MzY4NjQ4Nl5BMl5BanBnXkFtZTgwMzc1NjU4NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.5,"35,443",tt4537896,movie,12 Dec 2018,"$24,011,188",N/A,N/A,True,,
18,Solo: A Star Wars Story,2018,PG-13,25 May 2018,135 min,"Action, Adventure, Sci-Fi",Ron Howard,"Jonathan Kasdan, Lawrence Kasdan, George Lucas","Alden Ehrenreich, Woody Harrelson, Emilia Clarke","Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.",English,United States,Nominated for 1 Oscar. 6 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.9,"322,273",tt3778644,movie,25 Sep 2018,"$213,767,512",N/A,N/A,True,,
19,Midnight Sun,2018,PG-13,23 Mar 2018,91 min,"Drama, Romance",Scott Speer,"Kenji Bando, Eric Ramiro Kirsten","Bella Thorne, Patrick Schwarzenegger, Rob Riggle",A 17-year-old girl suffers from a condition that prevents her from being out in the sunlight.,English,United States,6 nominations,https://m.media-amazon.com/images/M/MV5BMjg0NjU1MjgyNF5BMl5BanBnXkFtZTgwNzc5NjYyNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.6,"28,512",tt4799066,movie,05 Jun 2018,"$9,561,064",N/A,N/A,True,,
20,Under the Silver Lake,2018,R,19 Apr 2019,139 min,"Crime, Drama, Mystery",David Robert Mitchell,David Robert Mitchell,"Andrew Garfield, Riley Keough, Topher Grace","Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",English,United States,3 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BYjY0NTA5MGItNDU1Yy00ZmE3LWI5NGItZDY5OGUxZjYzZGQ5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.5,"39,116",tt5691670,movie,23 Apr 2019,"$46,083",N/A,N/A,True,,
21,Den of Thieves,2018,R,19 Jan 2018,140 min,"Action, Crime, Drama",Christian Gudegast,"Christian Gudegast, Paul T. Scheuring","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr.",An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,"English, Polynesian, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzYyODcwMDAyM15BMl5BanBnXkFtZTgwOTA4MjIwNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.0,"104,992",tt1259528,movie,25 Mar 2018,"$44,947,622",N/A,N/A,True,,
22,Annihilation,2018,R,23 Feb 2018,115 min,"Adventure, Drama, Horror",Alex Garland,"Alex Garland, Jeff VanderMeer","Natalie Portman, Jennifer Jason Leigh, Tessa Thompson","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",English,"United States, United Kingdom",17 wins & 64 nominations,https://m.media-amazon.com/images/M/MV5BMTk2Mjc2NzYxNl5BMl5BanBnXkFtZTgwMTA2OTA1NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,6.8,"304,893",tt2798920,movie,22 Apr 2018,"$32,732,301",N/A,N/A,True,,
23,Red Sparrow,2018,R,02 Mar 2018,140 min,"Action, Drama, Thriller",Francis Lawrence,"Justin Haythe, Jason Matthews","Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts","Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both natio","Hungarian, English, Russian",United States,3 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTA3MDkxOTc4NDdeQTJeQWpwZ15BbWU4MDAxNzgyNTQz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.6,"179,802",tt2873282,movie,22 May 2018,"$46,874,505",N/A,N/A,True,,
24,A Star Is Born,2018,R,05 Oct 2018,136 min,"Drama, Music, Romance",Bradley Cooper,"Eric Roth, Bradley Cooper, Will Fetters","Lady Gaga, Bradley Cooper, Sam Elliott",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,English,United States,Won 1 Oscar. 95 wins & 280 nominations total,https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.6,"365,789",tt1517451,movie,19 Feb 2019,"$215,288,866",N/A,N/A,True,,
25,Mamma Mia! Here We Go Again,2018,PG-13,20 Jul 2018,114 min,"Comedy, Musical, Romance",Ol Parker,"Ol Parker, Richard Curtis, Catherine Johnson","Lily James, Amanda Seyfried, Meryl Streep","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.","English, French, Greek","United Kingdom, United States, Japan",12 nominations,https://m.media-amazon.com/images/M/MV5BMjEwMTM3OTI1NV5BMl5BanBnXkFtZTgwNDk5NTY0NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.6,"89,801",tt6911608,movie,23 Oct 2018,"$120,634,935",N/A,N/A,True,,
26,Death Wish,2018,R,02 Mar 2018,107 min,"Action, Crime, Drama",Eli Roth,"Joe Carnahan, Brian Garfield, Wendell Mayes","Bruce Willis, Vincent D'Onofrio, Elisabeth Shue","Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.","English, Spanish","United States, Canada",4 nominations,https://m.media-amazon.com/images/M/MV5BMTkzNjU3MjE0MF5BMl5BanBnXkFtZTgwNTIyNDk0NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,6.3,"70,464",tt1137450,movie,22 May 2018,"$34,017,028",N/A,N/A,True,,
27,Instant Family,2018,PG-13,16 Nov 2018,118 min,"Comedy, Drama",Sean Anders,"Sean Anders, John Morris","Mark Wahlberg, Rose Byrne, Isabela Merced",A couple find themselves in over their heads when they foster three children.,"English, Spanish",United States,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTkzMzgzMTc1OF5BMl5BanBnXkFtZTgwNjQ4MzE0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.3,"101,562",tt7401588,movie,19 Feb 2019,"$67,363,237",N/A,N/A,True,,
28,Jurassic World: Fallen Kingdom,2018,PG-13,22 Jun 2018,128 min,"Action, Adventure, Sci-Fi",J.A. Bayona,"Derek Connolly, Colin Trevorrow, Michael Crichton","Chris Pratt, Bryce Dallas Howard, Rafe Spall","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","English, Russian",United States,4 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.2,"290,440",tt4881806,movie,18 Sep 2018,"$417,719,760",N/A,N/A,True,,
29,Eighth Grade,2018,R,03 Aug 2018,93 min,"Comedy, Drama",Bo Burnham,Bo Burnham,"Elsie Fisher, Josh Hamilton, Emily Robinson",An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,English,United States,60 wins & 94 nominations,https://m.media-amazon.com/images/M/MV5BMzVlYzgxYjAtYzhhZi00MDc1LTlkZDMtMTRhZWI0MTg5YTRjXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,7.4,"72,085",tt7014006,movie,09 Oct 2018,"$13,539,709",N/A,N/A,True,,
30,Ocean's Eight,2018,PG-13,08 Jun 2018,110 min,"Action, Comedy, Crime",Gary Ross,"Gary Ross, Olivia Milch, George Clayton Johnson","Sandra Bullock, Cate Blanchett, Anne Hathaway",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,"English, Hindi, French, German, Mandarin",United States,3 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BMjAyNDEyMzc4Ml5BMl5BanBnXkFtZTgwMjEzNjM0NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.3,"206,831",tt5164214,movie,11 Sep 2018,"$140,218,711",N/A,N/A,True,,
31,Suspiria,1977,R,12 Aug 1977,92 min,Horror,Dario Argento,"Dario Argento, Daria Nicolodi, Thomas De Quincey","Jessica Harper, Stefania Casini, Flavio Bucci",An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,"Italian, Russian, English, German, Latin",Italy,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BNTJhMDljNmItZGUwYy00YjMzLWExMDYtZjRiOGNhMTRkMjVmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.4,"89,046",tt0076786,movie,25 Sep 2007,N/A,N/A,N/A,True,,
32,The Favourite,2018,R,21 Dec 2018,119 min,"Biography, Comedy, Drama",Yorgos Lanthimos,"Deborah Davis, Tony McNamara","Olivia Colman, Emma Stone, Rachel Weisz","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",English,"Ireland, United Kingdom, United States",Won 1 Oscar. 184 wins & 343 nominations total,https://m.media-amazon.com/images/M/MV5BMTg1NzQwMDQxNV5BMl5BanBnXkFtZTgwNDg2NDYyNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.5,"190,280",tt5083738,movie,12 Feb 2019,"$34,366,783",N/A,N/A,True,,
