,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
10,Lady Macbeth,2016,R,14 Jul 2017,89 min,"Drama, Romance",William Oldroyd,"Nikolai Leskov, Alice Birch","Florence Pugh, Cosmo Jarvis, Paul Hilton","In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.",English,United Kingdom,Nominated for 2 BAFTA Film 22 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BMTkzNzA5MzQxNV5BMl5BanBnXkFtZTgwNjcyMjUyMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,6.8,"22,329",tt4291600,movie,17 Oct 2017,"$1,129,408",N/A,N/A,True,,
11,Moana,2016,PG,23 Nov 2016,107 min,"Animation, Adventure, Comedy","Ron Clements, John Musker, Don Hall","Jared Bush, Ron Clements, John Musker","Auli'i Cravalho, Dwayne Johnson, Rachel House","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","English, French",United States,Nominated for 2 Oscars. 20 wins & 90 nominations total,https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.6,"307,523",tt3521164,movie,07 Mar 2017,"$248,757,044",N/A,N/A,True,,
12,Arrival,2016,PG-13,11 Nov 2016,116 min,"Drama, Sci-Fi",Denis Villeneuve,"Eric Heisserer, Ted Chiang","Amy Adams, Jeremy Renner, Forest Whitaker",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,"English, Russian, Mandarin","United States, Canada",Won 1 Oscar. 69 wins & 269 nominations total,https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.9,"656,529",tt2543164,movie,14 Feb 2017,"$100,546,139",N/A,N/A,True,,
13,X-Men: Apocalypse,2016,PG-13,27 May 2016,144 min,"Action, Adventure, Sci-Fi",Bryan Singer,"Simon Kinberg, Bryan Singer, Michael Dougherty","James McAvoy, Michael Fassbender, Jennifer Lawrence","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.","English, Polish, German, Arabic, Egyptian (Ancient)",United States,1 win & 19 nominations,https://m.media-amazon.com/images/M/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.9,"417,115",tt3385516,movie,04 Oct 2016,"$155,442,489",N/A,N/A,True,,
14,Captain Fantastic,2016,R,29 Jul 2016,118 min,"Comedy, Drama",Matt Ross,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a ","English, Esperanto, German, Chinese",United States,Nominated for 1 Oscar. 15 wins & 51 nominations total,https://m.media-amazon.com/images/M/MV5BMjE5OTM0OTY5NF5BMl5BanBnXkFtZTgwMDcxOTQ3ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.9,"209,594",tt3553976,movie,25 Oct 2016,"$5,879,835",N/A,N/A,True,,
15,Star Trek Beyond,2016,PG-13,22 Jul 2016,122 min,"Action, Adventure, Sci-Fi",Justin Lin,"Simon Pegg, Doug Jung, Gene Roddenberry","Chris Pine, Zachary Quinto, Karl Urban","The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",English,"United States, China",Nominated for 1 Oscar. 3 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BODgzMTZmMGMtNTM4Ni00ZjIxLWIyYmUtZjcxMDEwMjkxMzQyXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.0,"239,868",tt2660888,movie,01 Nov 2016,"$158,848,340",N/A,N/A,True,,
16,Sing,2016,PG,21 Dec 2016,108 min,"Animation, Comedy, Family","Garth Jennings, Christophe Lourdelet",Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","English, Japanese, Ukrainian","Japan, United States",3 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.1,"153,886",tt3470600,movie,18 Apr 2017,"$270,448,425",N/A,N/A,True,,
17,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
18,The Conjuring 2,2016,R,10 Jun 2016,134 min,"Horror, Mystery, Thriller",James Wan,"Chad Hayes, Carey W. Hayes, James Wan","Vera Farmiga, Patrick Wilson, Madison Wolfe",Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,English,"Canada, United States, United Kingdom",4 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BZjU5OWVlN2EtODNlYy00MjhhLWI0MDUtMTA3MmQ5MGMwYTZmXkEyXkFqcGdeQXVyNjE5MTM4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.3,"255,203",tt3065204,movie,13 Sep 2016,"$102,470,008",N/A,N/A,True,,
19,Passengers,2016,PG-13,21 Dec 2016,116 min,"Drama, Romance, Sci-Fi",Morten Tyldum,Jon Spaihts,"Jennifer Lawrence, Chris Pratt, Michael Sheen",A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,"English, Spanish, Japanese, French","United States, Australia",Nominated for 2 Oscars. 2 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BZjk4ZTMwMTYtOTk1NC00OTA0LWFhMGYtZTBjMzViMDY2YWZjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,7.0,"382,637",tt1355644,movie,14 Mar 2017,"$100,014,699",N/A,N/A,True,,
20,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
21,The Huntsman: Winter's War,2016,PG-13,22 Apr 2016,114 min,"Action, Adventure, Drama",Cedric Nicolas-Troyan,"Evan Spiliotopoulos, Craig Mazin, Evan Daugherty","Chris Hemsworth, Jessica Chastain, Charlize Theron","Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",English,"United States, China",16 nominations,https://m.media-amazon.com/images/M/MV5BMmI5ZjBjZmMtNTQwOC00YWJjLThkNmUtOTY2ZDkwMmI2ZmU4XkEyXkFqcGdeQXVyMTQ1ODEyNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.1,"106,249",tt2381991,movie,23 Aug 2016,"$48,390,190",N/A,N/A,True,,
22,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
23,The Handmaiden,2016,Not Rated,01 Jun 2016,145 min,"Drama, Romance, Thriller",Park Chan-wook,"Sarah Waters, Seo-kyeong Jeong, Park Chan-wook","Kim Min-hee, Ha Jung-woo, Cho Jin-woong","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Korean, Japanese",South Korea,Won 1 BAFTA Film Award70 wins & 108 nominations total,https://m.media-amazon.com/images/M/MV5BNDJhYTk2MTctZmVmOS00OTViLTgxNjQtMzQxOTRiMDdmNGRjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,8.1,"133,617",tt4016934,movie,24 Jan 2017,"$2,006,788",N/A,N/A,True,,
24,13 Hours,2016,R,15 Jan 2016,144 min,"Action, Drama, History",Michael Bay,"Chuck Hogan, Mitchell Zuckoff","John Krasinski, Pablo Schreiber, James Badge Dale","During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.","English, Arabic","United States, Malta, Morocco",Nominated for 1 Oscar. 5 nominations total,https://m.media-amazon.com/images/M/MV5BYjY0OWVjMGQtNTIzZi00OGU5LWI4N2EtMGU0YzQ4OWM4ZmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,7.3,"132,809",tt4172430,movie,07 Jun 2016,"$52,853,219",N/A,N/A,True,,
25,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
26,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
27,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
28,Your Name.,2016,TV-PG,07 Apr 2017,106 min,"Animation, Drama, Fantasy",Makoto Shinkai,"Makoto Shinkai, Clark Cheng","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Japanese,Japan,16 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,8.4,"236,524",tt5311514,movie,31 Jan 2018,"$5,017,246",N/A,N/A,True,,
29,Kung Fu Panda 3,2016,PG,29 Jan 2016,95 min,"Animation, Action, Adventure","Alessandro Carloni, Jennifer Yuh Nelson","Jonathan Aibel, Glenn Berger, Ethan Reiff","Jack Black, Bryan Cranston, Dustin Hoffman","Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.",English,"United States, China",1 win & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.1,"148,551",tt2267968,movie,28 Jun 2016,"$143,528,619",N/A,N/A,True,,
30,The Nice Guys,2016,R,20 May 2016,116 min,"Action, Comedy, Crime",Shane Black,"Shane Black, Anthony Bagarozzi","Russell Crowe, Ryan Gosling, Angourie Rice","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","English, German",United States,9 wins & 34 nominations,https://m.media-amazon.com/images/M/MV5BODNlNmU4MGItMzQwZi00NGQyLWEyZWItYjFkNmI0NWI4NjBhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.4,"306,728",tt3799694,movie,23 Aug 2016,"$36,261,763",N/A,N/A,True,,
31,Independence Day: Resurgence,2016,PG-13,24 Jun 2016,120 min,"Action, Adventure, Sci-Fi",Roland Emmerich,"Nicolas Wright, James A. Woods, Dean Devlin","Liam Hemsworth, Jeff Goldblum, Bill Pullman","Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?","English, Mandarin",United States,3 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BMjIyMTg5MTg4OV5BMl5BanBnXkFtZTgwMzkzMjY5NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.2,"174,728",tt1628841,movie,18 Oct 2016,"$103,144,286",N/A,N/A,True,,
32,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
33,Miss Peregrine's Home for Peculiar Children,2016,PG-13,30 Sep 2016,127 min,"Adventure, Drama, Family",Tim Burton,"Ransom Riggs, Jane Goldman","Eva Green, Asa Butterfield, Samuel L. Jackson","When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special pow",English,"United States, United Kingdom, Belgium, Canada",2 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMTU0Nzc5NzI5NV5BMl5BanBnXkFtZTgwNTk1MDE4MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.7,"166,372",tt1935859,movie,13 Dec 2016,"$87,242,834",N/A,N/A,True,,
34,Fantastic Beasts and Where to Find Them,2016,PG-13,18 Nov 2016,132 min,"Adventure, Family, Fantasy",David Yates,J.K. Rowling,"Eddie Redmayne, Katherine Waterston, Alison Sudol",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,"English, Central Khmer","United Kingdom, United States",Won 1 Oscar. 15 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.3,"441,123",tt3183660,movie,28 Mar 2017,"$234,037,575",N/A,N/A,True,,
35,Train to Busan,2016,Not Rated,20 Jul 2016,118 min,"Action, Horror, Thriller",Sang-ho Yeon,"Joo-Suk Park, Sang-ho Yeon","Gong Yoo, Yu-mi Jung, Ma Dong-seok","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","Korean, Hawaiian",South Korea,35 wins & 39 nominations,https://m.media-amazon.com/images/M/MV5BMTkwOTQ4OTg0OV5BMl5BanBnXkFtZTgwMzQyOTM0OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"200,798",tt5700672,movie,17 Jan 2017,"$2,129,768",N/A,N/A,True,,
36,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
37,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
38,Underworld: Blood Wars,2016,R,06 Jan 2017,91 min,"Action, Adventure, Fantasy",Anna Foerster,"Cory Goodman, Kyle Ward, Kevin Grevioux","Kate Beckinsale, Theo James, Tobias Menzies",Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,"English, Saami",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjI5Njk0NTIyNV5BMl5BanBnXkFtZTgwNjU4MjY5MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,5.8,"74,166",tt3717252,movie,25 Apr 2017,"$30,353,973",N/A,N/A,True,,
39,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
40,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
41,Sausage Party,2016,R,12 Aug 2016,89 min,"Animation, Adventure, Comedy","Greg Tiernan, Conrad Vernon","Kyle Hunter, Ariel Shaffir, Seth Rogen","Seth Rogen, Kristen Wiig, Jonah Hill",A sausage strives to discover the truth about his existence.,English,"United States, Canada",1 win & 26 nominations,https://m.media-amazon.com/images/M/MV5BMjkxOTk1MzY4MF5BMl5BanBnXkFtZTgwODQzOTU5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.1,"187,717",tt1700841,movie,08 Nov 2016,"$97,685,686",N/A,N/A,True,,
42,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
43,Hell or High Water,2016,R,26 Aug 2016,102 min,"Action, Crime, Drama",David Mackenzie,Taylor Sheridan,"Chris Pine, Ben Foster, Jeff Bridges",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,English,United States,Nominated for 4 Oscars. 46 wins & 175 nominations total,https://m.media-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.6,"219,343",tt2582782,movie,22 Nov 2016,"$27,007,844",N/A,N/A,True,,
44,The Purge: Election Year,2016,R,01 Jul 2016,108 min,"Action, Horror, Sci-Fi",James DeMonaco,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.","English, Russian, Afrikaans","United States, France",6 nominations,https://m.media-amazon.com/images/M/MV5BMjI3MDI0MTA1N15BMl5BanBnXkFtZTgwOTk4NjU5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.0,"97,633",tt4094724,movie,04 Oct 2016,"$79,213,375",N/A,N/A,True,,
45,Ghostbusters,1984,PG,08 Jun 1984,105 min,"Action, Comedy, Fantasy",Ivan Reitman,"Dan Aykroyd, Harold Ramis, Rick Moranis","Bill Murray, Dan Aykroyd, Sigourney Weaver","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",English,United States,Nominated for 2 Oscars. 7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.8,"395,009",tt0087332,movie,02 Aug 2005,"$243,578,797",N/A,N/A,True,,
46,The Accountant,2016,R,14 Oct 2016,128 min,"Action, Thriller",Gavin O'Connor,Bill Dubuque,"Ben Affleck, Anna Kendrick, J.K. Simmons","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.","English, Indonesian, French",United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BNDc5Mzg2NTYxNV5BMl5BanBnXkFtZTgwMjQ2ODAwOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.3,"284,049",tt2140479,movie,10 Jan 2017,"$86,260,045",N/A,N/A,True,,
