,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
10,Flipped,2010,PG,10 Sep 2010,90 min,"Comedy, Drama, Romance",Rob Reiner,"Rob Reiner, Andrew Scheinman, Wendelin Van Draanen","Madeline Carroll, Callan McAuliffe, Rebecca De Mornay",Two eighth-graders start to have feelings for each other despite being total opposites.,English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTU2NjQ1Nzc4MF5BMl5BanBnXkFtZTcwNTM0NDk1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,7.7,"87,670",tt0817177,movie,23 Nov 2010,"$1,755,212",N/A,N/A,True,,
11,The Social Network,2010,PG-13,01 Oct 2010,120 min,"Biography, Drama",David Fincher,"Aaron Sorkin, Ben Mezrich","Jesse Eisenberg, Andrew Garfield, Justin Timberlake","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","English, French",United States,Won 3 Oscars. 172 wins & 186 nominations total,https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,7.7,"670,561",tt1285016,movie,11 Jan 2011,"$96,962,694",N/A,N/A,True,,
12,Robin Hood,2010,PG-13,14 May 2010,140 min,"Action, Adventure, Drama",Ridley Scott,"Brian Helgeland, Ethan Reiff, Cyrus Voris","Russell Crowe, Cate Blanchett, Matthew Macfadyen","In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","English, French, Ukrainian","United States, United Kingdom",1 win & 14 nominations,https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.6,"263,540",tt0955308,movie,21 Sep 2010,"$105,269,730",N/A,N/A,True,,
13,Monsters,2010,R,03 Dec 2010,94 min,"Adventure, Drama, Romance",Gareth Edwards,Gareth Edwards,"Scoot McNairy, Whitney Able, Mario Zuniga Benavides","Six years after Earth has suffered an alien invasion, a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the U.S. border.","English, Spanish","United Kingdom, Mexico",Nominated for 1 BAFTA Film Award14 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMjE4MzMyNjExMl5BMl5BanBnXkFtZTcwMzI5NjM3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.4,"91,009",tt1470827,movie,01 Feb 2011,"$237,301",N/A,N/A,True,,
14,Insidious,2010,PG-13,01 Apr 2011,103 min,"Horror, Mystery, Thriller",James Wan,Leigh Whannell,"Patrick Wilson, Rose Byrne, Ty Simpkins",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,English,"United States, Canada",8 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.8,"296,975",tt1591095,movie,12 Jul 2011,"$54,009,150",N/A,N/A,True,,
15,Tangled,2010,PG,24 Nov 2010,100 min,"Animation, Adventure, Comedy","Nathan Greno, Byron Howard","Dan Fogelman, Jacob Grimm, Wilhelm Grimm","Mandy Moore, Zachary Levi, Donna Murphy","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","English, German",United States,Nominated for 1 Oscar. 10 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.7,"431,922",tt0398286,movie,29 Mar 2011,"$200,821,936",N/A,N/A,True,,
16,RED,2010,PG-13,15 Oct 2010,111 min,"Action, Comedy, Crime",Robert Schwentke,"Jon Hoeber, Erich Hoeber, Warren Ellis","Bruce Willis, Helen Mirren, Morgan Freeman","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.","English, Russian","United States, China",4 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.0,"301,897",tt1245526,movie,25 Jan 2011,"$90,380,162",N/A,N/A,True,,
17,I Spit on Your Grave,2010,R,17 Jun 2010,108 min,"Horror, Thriller",Steven R. Monroe,"Adam Rockoff, Meir Zarchi","Sarah Butler, Jeff Branson, Andrew Howard","A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTkxMTE3NzEzMl5BMl5BanBnXkFtZTcwMzc4MTU2Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,6.3,"81,363",tt1242432,movie,08 Feb 2011,"$93,051",N/A,N/A,True,,
18,The Last Airbender,2010,PG,01 Jul 2010,103 min,"Action, Adventure, Family",M. Night Shyamalan,M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",English,United States,8 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '20/100'}]",20,4.0,"160,213",tt0938283,movie,16 Nov 2010,"$131,772,187",N/A,N/A,True,,
19,How to Train Your Dragon,2010,PG,26 Mar 2010,98 min,"Animation, Action, Adventure","Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",English,United States,Nominated for 2 Oscars. 25 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.1,"706,987",tt0892769,movie,17 Aug 2010,"$217,581,231",N/A,N/A,True,,
20,The American,2010,R,01 Sep 2010,105 min,"Action, Crime, Drama",Anton Corbijn,"Rowan Joffe, Martin Booth","George Clooney, Paolo Bonacelli, Violante Placido",An assassin hides out in Italy for one last assignment.,"English, Italian","United States, United Kingdom",4 nominations,https://m.media-amazon.com/images/M/MV5BMjAxMDg1NDcxM15BMl5BanBnXkFtZTcwODc3MDg1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.3,"95,462",tt1440728,movie,28 Dec 2010,"$35,606,376",N/A,N/A,True,,
21,Incendies,2010,R,12 Jan 2011,131 min,"Drama, Mystery, War",Denis Villeneuve,"Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne","Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"French, Arabic, English","Canada, France",Nominated for 1 Oscar. 40 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,8.3,"168,042",tt1255953,movie,15 Mar 2011,"$2,071,334",N/A,N/A,True,,
22,Sex and the City 2,2010,R,27 May 2010,146 min,"Comedy, Drama, Romance",Michael Patrick King,"Michael Patrick King, Candace Bushnell, Darren Star","Sarah Jessica Parker, Kim Cattrall, Kristin Davis","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.","English, Arabic",United States,8 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTM3OTUyNTI3MF5BMl5BanBnXkFtZTcwODcyMzM0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,4.5,"78,257",tt1261945,movie,17 Aug 2010,"$95,347,692",N/A,N/A,True,,
23,Burlesque,2010,PG-13,24 Nov 2010,119 min,"Drama, Music, Musical",Steve Antin,Steve Antin,"Cher, Christina Aguilera, Alan Cumming",A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,English,United States,6 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BMjM1ZmI4NmUtMDJmMC00N2NkLTg1NGYtMDUyZDZlMmExNGNiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.4,"83,525",tt1126591,movie,22 Feb 2011,"$39,440,655",N/A,N/A,True,,
24,Alice in Wonderland,2010,PG,05 Mar 2010,108 min,"Adventure, Family, Fantasy",Tim Burton,"Linda Woolverton, Lewis Carroll","Mia Wasikowska, Johnny Depp, Helena Bonham Carter","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",English,"United States, United Kingdom",Won 2 Oscars. 35 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.4,"400,206",tt1014759,movie,09 Mar 2010,"$334,191,110",N/A,N/A,True,,
25,Despicable Me,2010,PG,09 Jul 2010,95 min,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio, Sergio Pablos","Steve Carell, Jason Segel, Russell Brand","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",English,"United States, France",Nominated for 1 BAFTA Film Award3 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"525,604",tt1323594,movie,14 Dec 2010,"$251,513,985",N/A,N/A,True,,
26,Love,2015,TV-MA,30 Oct 2015,135 min,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","English, French","France, Belgium",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.1,"54,398",tt3774694,movie,N/A,"$249,083",N/A,N/A,True,,
27,True Grit,2010,PG-13,22 Dec 2010,110 min,"Drama, Western","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Charles Portis","Jeff Bridges, Matt Damon, Hailee Steinfeld",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,English,United States,Nominated for 10 Oscars. 38 wins & 169 nominations total,https://m.media-amazon.com/images/M/MV5BODhkZDIzNjgtOTA5ZS00MmMzLWFkNjYtM2Y2MzFjN2FkNjAzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.6,"328,502",tt1403865,movie,07 Jun 2011,"$171,243,005",N/A,N/A,True,,
28,The Tourist,2010,PG-13,10 Dec 2010,103 min,"Action, Thriller",Florian Henckel von Donnersmarck,"Florian Henckel von Donnersmarck, Christopher McQuarrie, Julian Fellowes","Johnny Depp, Angelina Jolie, Paul Bettany","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.","English, French, Italian, Russian, Spanish","United States, France, Italy, United Kingdom",4 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTMyMzc3OTkwMV5BMl5BanBnXkFtZTcwMjc0MTgwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.0,"235,129",tt1243957,movie,22 Mar 2011,"$67,631,157",N/A,N/A,True,,
29,The Twilight Saga: Eclipse,2010,PG-13,30 Jun 2010,124 min,"Action, Adventure, Drama",David Slade,"Melissa Rosenberg, Stephenie Meyer","Kristen Stewart, Robert Pattinson, Taylor Lautner","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",English,United States,22 wins & 34 nominations,https://m.media-amazon.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,5.0,"238,391",tt1325004,movie,04 Dec 2010,"$300,531,751",N/A,N/A,True,,
30,Percy Jackson,2017–,TV-G,24 Jun 2017,N/A,Adventure,N/A,N/A,"Riley Wake, Sammy Carroll, Jessica Jose-Nickerson","Based on the novels by Rick Riordan, this series follows a young demigod named Percy Jackson and his friends from Camp Half-Blood as they go on quests to save the world from Kronos's army.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDViZWVkNTYtY2U4Zi00NTk0LTkwNTMtYjJlZTA4Mjc4NDMzXkEyXkFqcGdeQXVyNzc1NTgzNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,51,tt7062794,series,,,,,True,1,
31,Clash of the Titans,2010,PG-13,02 Apr 2010,106 min,"Action, Adventure, Fantasy",Louis Leterrier,"Travis Beacham, Phil Hay, Matt Manfredi","Sam Worthington, Liam Neeson, Ralph Fiennes","Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",English,"United States, United Kingdom, Australia",4 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.8,"278,021",tt0800320,movie,27 Jul 2010,"$163,214,888",N/A,N/A,True,,
32,The Book of Eli,2010,R,15 Jan 2010,118 min,"Action, Adventure, Drama","Albert Hughes, Allen Hughes",Gary Whitta,"Denzel Washington, Mila Kunis, Ray Stevenson","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",English,United States,3 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.9,"307,799",tt1037705,movie,15 Jun 2010,"$94,835,059",N/A,N/A,True,,
33,Blue Valentine,2010,R,28 Jan 2011,112 min,"Drama, Romance",Derek Cianfrance,"Derek Cianfrance, Joey Curtis, Cami Delavigne","Ryan Gosling, Michelle Williams, John Doman","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",English,United States,Nominated for 1 Oscar. 9 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BMTU4MTQ2MzA1Ml5BMl5BanBnXkFtZTcwODE3NTgwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.3,"192,252",tt1120985,movie,10 May 2011,"$9,706,328",N/A,N/A,True,,
